店家名,統一編號,事件,說明,連結,類型,店家編號,背包客房編號,用品店編號
台中潛立方,54750578,民事,消債職權免責事件,https://www.lawsq.com/book/46518202515,背包客房,null,262,null
綠夜文旅,24838106,民事,返還不當得利,https://www.lawsq.com/book/43703307241,背包客房,null,263,null
承億文旅 - 台中鳥日子,27597690,民事/刑事/行政,"違反商標法請求損害賠償刑事附帶民事訴訟,請求賠償損害,竊盜等,損害賠償,違反商標法,商標註冊,給付資遣費等,給付資遣費",https://www.twincn.com/item.aspx?no=27597690,背包客房,null,267,null
荷米旅居 Hommie Inn,24607766 ,民事,支付命令,https://www.lawsq.com/book/43553578704,背包客房,null,275,null
大眾浮潛,21980418,刑事,業務侵占,https://www.twincn.com/item.aspx?no=21980418,背包客房,null,388,null
三姐民宿,40794934,刑事,違反毒品危害防制條例,https://www.lawsq.com/book/27982294175,背包客房,null,405,null
快樂小屋,47920133,刑事,違反商標法,https://www.lawsq.com/book/28227957158,背包客房,null,440,null
晴空宿,47837297,民事,返還價金,https://www.lawsq.com/book/46609194849,背包客房,null,447,null
98旅店,81325801,刑事,公共危險,https://www.lawsq.com/book/44565132705,背包客房,null,457,null
龍洞鼻頭角潛水店,78884702,刑事,重傷害,https://www.lawsq.com/book/2875508072,背包客房,null,171,null
客旅家,81307775,刑事,竊盜,https://www.lawsq.com/book/46568603633,背包客房,null,176,null
驛家旅店-EasyInn Hotel & Hostel-青年旅館,54080509,刑事,偽造文書等,https://www.lawsq.com/book/48044803256,背包客房,null,190,null
福憩背包客棧-和平館,40950370,刑事/民事,"侵權行為損害賠償,詐欺,竊盜",https://www.twincn.com/item.aspx?no=40950370,背包客房,null,201,null
奇異果快捷旅店-高雄車站店,16889093,刑事,詐欺,https://www.lawsq.com/book/45234363183,背包客房,null,211,null
國泰旅社-背包客的窩,83129241,刑事/民事,"加重詐欺等,妨害風化,竊盜,毒品危害防制條例,贓物,妨害風化,社會秩序維護法,妨害性自主,侵權行為損害賠償,社會秩序維護法,毒品危害防治條例,贓物",https://www.twincn.com/item.aspx?no=83129241,背包客房,null,212,null
Uno青年旅舍,54638652,刑事,竊盜,https://www.twincn.com/item.aspx?no=54638652,背包客房,null,218,null
遊大俠x七桃公寓,24680610,民事,給付加班費等,https://www.lawsq.com/book/48562966800,背包客房,null,219,null
天藝商旅,54299365,刑事/民事,"清償債務,支付命令,妨害家庭",https://www.twincn.com/item.aspx?no=54299365,背包客房,null,224,null
騏艦藍海灣&潛水度假村,"	54117920",民事,"請求損害賠償,給付票款,支付命令,聲明異議,本票裁定",https://www.twincn.com/item.aspx?no=54117920,背包客房,null,244,null
星空/太空艙旅店,"	81946935",刑事,竊盜,https://www.lawsq.com/book/44598700203,背包客房,null,260,null
途中花蓮青年旅舍,41464995,公懲,懲戒,https://www.lawsq.com/book/43695959011,背包客房,null,14,null
悅樂旅店‧花蓮 OLAH Poshtel Hualien,83628823,刑事/民事,"請求職業災害損害賠償,支付命令,本票裁定,拍賣抵押物,清償借款,確認工程款債權存在,職業災害損害賠償,損害賠償,誣告等,更生事件,依職權裁定確定訴訟費用額,",https://www.twincn.com/item.aspx?no=83628823,背包客房,null,35,null
千禧山莊,18051091,刑事,"詐欺,違反公職人員選舉罷免法等,違反電信法,過失致死等",https://www.twincn.com/item.aspx?no=18051091,背包客房,null,1,null
東岸民宿,10126128,刑事,違反社會秩序維護法,https://www.lawsq.com/book/44048763509,背包客房,null,58,null
綠島海灣會館,45060679,公懲,懲戒,https://www.lawsq.com/book/644225497,背包客房,null,92,null
戀戀火燒島,62977211,民事/刑事,"損害賠償,詐欺",https://www.twincn.com/item.aspx?no=62977211,背包客房,null,102,null
綠島9號精品渡假村,37727736,民事,給付合夥出資,https://www.twincn.com/item.aspx?no=37727736,背包客房,null,108,null
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,62998454,刑事,"賭博,竊盜,毒品危害防制條例",https://www.twincn.com/item.aspx?no=62998454,背包客房,null,114,null
一直曬太陽hostel民宿(SunnyDayHostel),40786060,民事/刑事,"損害賠償,妨害兵役",https://www.twincn.com/item.aspx?no=40786060,背包客房,null,117,null
蘭嶼 嵐羽民宿,37655085,民事,損害賠償,https://www.lawsq.com/book/44389430621,背包客房,null,147,null
Water Pro 台中總店,83266862,民事/刑事,侵權行為損害賠償（交通）,https://www.twincn.com/item.aspx?no=83266862,潛水用品店,null,null,41
Aropec金鴻股份有限公司 潛水衝浪溯溪游泳三鐵(台中店),16866084,民事,"給付違約金等,返還模具等,除權判決,確認董事關係不存在等,損害賠償",https://www.twincn.com/item.aspx?no=16866084,潛水用品店,null,null,46
藍灣潛水訓練中心,89248455,刑事,竊盜,https://www.lawsq.com/book/35487537536,潛水用品店,null,null,52
三來潛水,86526948,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/5141741945,潛水用品店,null,null,85
iDiving 愛潛水,25122613,民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛水用品店,null,null,72
台灣潛水Taipei,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛水用品店,null,null,56
藍波潛水用品店,98102966,刑事,過失致死,https://www.lawsq.com/book/39935302948,潛水用品店,null,null,98
國傑工程企業有限公司,776690,民事,"損害賠償,給付租金等,給付工程款",https://www.twincn.com/item.aspx?no=00776690,潛水用品店,null,null,100
薛長興公司-三結廠,41910405,民事/刑事,"竊盜,侵權行為損害賠償,詐欺等,收養認可,除權判決,公示催告,給付退休金等,營利事業所得稅",https://www.twincn.com/item.aspx?no=41910405,潛水用品店,null,null,103
藍海潛水用品社,93673847,民事,返還所有物,https://www.lawsq.com/book/31600442936,潛水用品店,null,null,111
水盈寶潛水器材企業行,17977833,民事,"損害賠償,給付貨款",https://www.twincn.com/item.aspx?no=17977833,潛水用品店,null,null,7
水領域潛水中心,25122613,民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛水用品店,null,null,9
羅浮潛水中心,85889317,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/4541816571,潛水用品店,null,null,16
蓬萊潛水,89417445,民事,"損害賠償,指定遺產管理人",https://www.twincn.com/item.aspx?no=89417445,潛水用品店,null,null,18
日日選品Daily.day,12254844,民事/刑事,"聲請清算程序,債務人異議之訴,履行契約等,更生事件,給付代收租金等,給付貨款,給付土地使用費等,偽造文書等,免責,侵占,清算,損害賠償,業務侵占",https://www.twincn.com/item.aspx?no=12254844,潛水用品店,null,null,28
台灣潛水企業有限公司,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛店,151,null,null
蓬萊潛水,89417445,民事,"損害賠償,指定遺產管理人",https://www.twincn.com/item.aspx?no=89417445,潛店,161,null,null
羅浮潛水中心,85889317,刑事,違反槍砲彈藥刀械管制條例,https://www.lawsq.com/book/4541816571,潛店,162,null,null
帶福新樂園潛水中心,53477550,民事/刑事,"支付命令,偽造文書,返還所有物等",https://www.twincn.com/item.aspx?no=53477550,潛店,202,null,null
藍灣潛水訓練中心,"	89248455",刑事,竊盜,https://www.lawsq.com/book/35487537536,潛店,9,null,null
台灣潛水Taipei ,79838170,民事/刑事,"請求返還打撈工程款,返還打撈工程款,損害賠償",https://www.twincn.com/item.aspx?no=79838170,潛店,33,null,null
海底玩家潛水訓練中心,80013816,民事/刑事,"清償借款,聲請交付審判",https://www.twincn.com/item.aspx?no=80013816,潛店,40,null,null
國傑工程企業有限公司,776690,民事,"損害賠償,給付租金等,給付工程款",https://www.twincn.com/item.aspx?no=00776690,潛店,22,null,null
夢想家潛水,72840284,民事,確認僱傭關係存在,https://www.lawsq.com/book/45593082448,潛店,13,null,null
iDiving愛潛水,"	25122613",民事,侵權行為損害賠償,https://www.lawsq.com/book/42538011604,潛店,43,null,null
1988潛水家,50788496,民事,返還課程費用,https://www.lawsq.com/book/46308090651,潛店,47,null,null
好野人休閒事業有限公司,24328547,民事,損害賠償,https://www.twincn.com/item.aspx?no=24328547,潛店,51,null,null
勝宏浮潛,36859842,刑事/民事,"違反廢棄物清理法,業務過失致死,損害賠償,更生事件,偽造有價證券,給付貨款,給付勞工保險費",https://www.twincn.com/item.aspx?no=36859842,潛店,84,null,null
綠島海灣會館,45060679,公懲,懲戒,https://www.lawsq.com/book/644225497,潛店,87,null,null
戀戀火燒島,62977211,刑事/民事,"損害賠償,詐欺",https://www.twincn.com/item.aspx?no=62977211,潛店,100,null,null
小琉球-小綠龜潛水,37677497,民事/刑事,"侵權行為損害賠償,請求侵權行為損害賠償,業務過失重傷害,分割共有物",https://www.twincn.com/item.aspx?no=37677497,潛店,286,null,null
小琉球 小丑魚浮潛,81357726,民事/刑事,"損害賠償,業務過失致死",https://www.twincn.com/item.aspx?no=81357726,潛店,301,null,null
大眾浮潛,21980418,刑事,業務侵占,https://www.twincn.com/item.aspx?no=21980418,潛店,312,null,null
