店名,緯度,經度,地址,評論數,潛水相關
黑熊背包客棧,23.99540939,121.6057278,970花蓮縣花蓮市國民十二街32-1號,少,V
洄瀾窩青年旅舍 Hualien Wow Hostel,23.99165259,121.6030335,97055花蓮縣花蓮市國聯一路83號,多,V
LAZY HOUSE_廢在這背包客棧,23.99325986,121.5984247,970花蓮縣花蓮市富安路49號,中,V
花蓮青年旅館．北吉光輕旅,23.98857720,121.5992655,970花蓮縣花蓮市中山路601巷1弄19號,多,V
Cozy House 小羊 房花蓮背包客棧,23.98613762,121.5990068,970花蓮縣花蓮市延平街148巷5號,多,V
途中花蓮青年旅舍,23.99494440,121.5978308,970花蓮縣花蓮市富吉路48號,多,V
花蓮阿羅國際青年旅舍,23.99509654,121.5974422,970花蓮縣花蓮市富吉路58-3號,中,V
山羊青旅民宿 GOAT HOSTEL,23.99642226,121.5953298,970花蓮縣花蓮市富裕十六街60號,中,V
花蓮小旅行迷你公寓背包客棧,23.99102317,121.6026214,970花蓮縣花蓮市國聯一路103號,多,V
Travel Charger Hostel 旅充人文,23.98962801,121.5940523,970花蓮縣花蓮市富國路138號,中,V
崧居文旅-挑高閣樓住宿,23.98908960,121.6013836,970花蓮縣花蓮市國興二街142號,少,V
仲青行旅 花蓮館Light Hostel,23.99440891,121.6038106,970花蓮縣花蓮市國民十街11號,多,V
您好生活公寓民宿NinHao Hostel,23.99019291,121.60260,970花蓮縣花蓮市國興二街91號,少,V
鳥窩•花蓮青年旅舍•Hualien Bird's House Hostel•花蓮背包客棧,23.99057408,121.6025815,970花蓮縣花蓮市國民五街5號,中,V
World Inn 窩二樓小客棧,23.99056154,121.6020454,970花蓮縣花蓮市國聯一路125號,中,V
A Good Man's Hostel,23.98810244,121.6011623,970花蓮縣花蓮市國聯二路150號,中,V
街角二館-角舍背包客棧民宿,23.99168110,121.597722,970花蓮縣花蓮市中山路743號,中,V
KID花蓮背包客棧 • KID Hualien Hostel,23.99024887,121.6025302,97055花蓮縣花蓮市國興二街102號,多,V
Sleeping boot Hostel 背包客棧,23.98617701,121.60650,970花蓮縣花蓮市進豐街73號,多,V
僖豆背包客,23.98716697,121.6007906,970花蓮縣花蓮市商校街192號,少,V
花蓮 小森見晴 Shining Forest Hostel / 背包客棧 / 火車站住宿 / 民宿,23.98867274,121.6047637,970花蓮縣花蓮市國興五街102號,中,V
遐窩青年旅舍JustWalk Hostel,23.99309375,121.6050781,970花蓮縣花蓮市國聯五路160號,中,V
有窩客棧 - You Worth Inn,23.98868283,121.6028625,970花蓮縣花蓮市國興三街82號,多,V
喀嚓緩旅 - 123 Cheers Hostel,23.99375553,121.6080207,970花蓮縣花蓮市國民八街100號,中,V
站前海民宿,23.98864804,121.6044565,970花蓮縣花蓮市國興五街112號,少,V
Arch雅砌美學公寓,23.99510040,121.6051599,970花蓮縣花蓮市國盛一街233號,多,V
悅樂旅店‧花蓮 OLAH Poshtel Hualien,23.97183039,121.60230,970花蓮縣花蓮市中福路122號,多,V
荷雅居石梯坪民宿,23.47086427,121.501571,977花蓮縣豐濱鄉港口村大港口1-8號,多,V
太平洋渡假村,23.60136292,121.5275734,977花蓮縣豐濱鄉小港55號,多,V
M.house旅宿,23.97355474,121.6039763,970花蓮縣花蓮市和平路332-1號,多,V
博愛泊心境民宿,23.97652987,121.6071399,970花蓮縣花蓮市博愛街120號,少,V
View Hostel 慮園 客棧,23.97553706,121.6041943,970花蓮縣花蓮市中華路169號,中,V
船長不在家 背包客棧,23.99034634,121.6051343,970花蓮縣花蓮市國聯三路85號,中,V
The Travel Bug Hostel旅行蟲背包客棧,22.87321082,121.2274177,959台東縣東河鄉134 號,中,V
東河民宿 狂衝浪店 Donghe surf shop,22.96610390,121.3016891,959台東縣東河鄉東河村南東河60號,中,V
熱帶低氣壓 Low Pressure Restaurant & Guesthouse,22.96659953,121.3005426,95942台東縣東河鄉108號,多,V
台東都蘭 晃輕鬆客棧咖啡館 Tranquilo Hostel & Café,22.87335883,121.2277265,959台東縣東河鄉都蘭路102號,中,V
築頁衝浪背包客棧PageSurfingInn,22.96854665,121.3036428,959台東縣東河鄉287號,中,V
落花鉎背包民宿 (都蘭),22.87618463,121.226359,959台東縣東河鄉420-9號,中,V
都蘭朋友家,22.87470282,121.22977,台東縣東河鄉959號,中,V
美好東河咖啡民宿,22.96824154,121.30240,95942台東縣東河鄉東河村南東河139號,中,V
途中·都蘭 青年旅舍 青年旅館 / On My Way Dulan Hostel,22.87292631,121.2261846,959001台東縣東河鄉124號,少,V
螺絲釘民宿Taitung Open Surf Shop & Hostel,22.97264193,121.305063,95942台東縣東河鄉北東河97號,中,V
小心沙發SUP立槳(LiTtLe HeArt)背包客美食空間,23.15095929,121.3973217,961台東縣成功鎮美山路55號,中,V
那邊Thatway,22.79404861,121.1920243,950台東縣台東市松江路一段303巷18弄3號,少,V
,,,,,
綠島涵館TUBE18,22.64711723,121.4760166,951台東縣綠島鄉南寮村龜灣32-1號,中,V
綠島熱浪潛水中心,22.67430547,121.4774551,951台東縣綠島鄉216之1號,中,V
CoolDiving Hostel｜背包輕旅｜潛水課程｜活動行程｜,22.67300170,121.472694,951台東縣綠島鄉中寮52-2號,少,V
好朋友潛水渡假旅宿,22.67681525,121.4837073,951台東縣綠島鄉柴口62-26號,少,V
火燒島潛水度假中心,22.67298294,121.46820,951台東縣綠島鄉南寮村239-1號,中,V
台灣潛水 綠島店 Green Island Dive,22.67693404,121.4873417,951台東縣綠島鄉一零三之一號,中,V
浪漫潛水,22.67747477,121.4853451,95142台東縣綠島鄉951柴口168號,少,V
藍洋潛水訓練中心 Blue Ocean SCUBA Center,22.05835564,121.5095708,952台東縣蘭嶼鄉295之2號,少,V
綠島海角樂園水上活動中心,22.66578038,121.471146,"南寮村39號, 綠島鄉台東縣951",少,V
聯慶愛潛水 Green Island Scuba Diving,22.65769772,121.4753426,951台東縣綠島鄉漁港 路2-6 號,中,VV
私家潛水旅宿,22.67402253,121.4783265,951台東縣綠島鄉公館村公館村柴口26-2號,少,VV
綠島極光潛水,22.67443586,121.479176,951台東縣綠島鄉39號,少,V
海子・Ocean Rover 綠島潛水旅宿,22.67685576,121.4875775,951台東縣綠島鄉柴口105-1號,中,V
"Oceanian 綠島自由潛水背包客棧 Green island,Taiwan",22.67705704,121.4862079,"No.79-1, Chaikou, 綠島鄉台東縣",中,V
島潛。Islands Dive,22.66216338,121.4734545,"No. 15-6號, 漁港路, 綠島鄉台東縣951",中,V
Goods dive,22.67112564,121.4731656,951台東縣綠島鄉52之51,少,V
水青潛水旅宿,22.66256666,121.4734194,951台東縣綠島鄉漁港16-2號,少,VV
綠島·潛界 Diving Unlimited,22.65512150,121.4750775,951台東縣綠島鄉漁港1-60號,少,V
安全停留潛水中心,22.65955399,121.4753885,951台東縣綠島鄉環島公路15-3號,少,V
綠島野蠻紮實潛水社,22.67683566,121.4892855,951303台東縣綠島鄉公舘1之10號,少,V
綠島-飛航模室潛水旅宿 Green lsland Airplane mode Hostel,22.67152587,121.4675795,951台東縣綠島鄉南寮205-1號,中,V
綠島 海遇潛水,22.67423340,121.4746542,951台東縣綠島鄉221號,少,V
Koh ocean · 嶼海 綠島自由潛水旅宿,22.67561686,121.4903798,951台東縣綠島鄉16號,少,V
綠島海灣會館,22.66106982,121.4744906,951台東縣綠島鄉漁港路10之5號,中,VV
綠島微風潛水度假中心,22.65534350,121.47520,台東縣綠島南寮村漁港1-58號號,少,VV
佈拉咖潛旅,22.67321550,121.4732324,951台東縣綠島鄉中寮54-3號,少,VV
綠島玉米-潛水住宿Diveholix Homestay,22.66522420,121.47160,951台東縣綠島鄉南寮17號,少,V
海島旅人 Diving Hostel ,22.66125749,121.4743447,951台東縣綠島鄉漁港路11號,中,V
綠島快樂潛水民宿,22.66496176,121.471285,95141台東縣綠島鄉南寮村一鄰南寮19號,中,V
月光城堡潛水中心(Mooncastle Dive Center),22.65648565,121.4752591,951台東縣綠島鄉漁港121號,中,VV
過日子民宿&綠島阿禧潛水俱樂部,22.67466231,121.4805882,951台東縣綠島鄉柴口55-1號,中,V
海街日記-OCEAN DIARY 綠島潛水旅宿,22.67537265,121.4909621,951台東縣綠島鄉公館50號,多,V
藏水綠島館Hide and Sea,22.65695510,121.4755155,951台東縣綠島鄉南寮漁港2-9號,少,V
戀戀火燒島,22.65413323,121.4749565,95142台東縣綠島鄉南寮1-80號,中,V
綠島走走,22.67430817,121.4709589,951台東縣綠島鄉中寮55號,少,V
海人生 C'est la vie 綠島海景民宿,22.67461543,121.4792236,951台東縣綠島鄉柴口33號,少,VV
水面休息潛水員旅宿,22.67617812,121.4902052,95141台東縣綠島鄉三鄰3-1號,少,V
柒七潛水旅店,22.67533601,121.4702286,951台東縣綠島鄉121號,少,V
島人嶼海,22.67673505,121.4884079,951台東縣綠島鄉 2 鄰 113 號,少,VV
綠島9號精品渡假村,22.65958311,121.4760671,951台東縣綠島鄉漁港 3-1 號,中,V
高氧旅宿,22.66733835,121.4696905,951台東縣綠島鄉南寮142號,少,V
愛上綠島民宿,22.66438690,121.471821,951台東縣綠島鄉漁港路39號,中,VV
綠島居福潛水,22.67499387,121.492551,951台東縣綠島鄉78-3號,少,V
綠島海猴子潛水Green Island Sea Monkey Diving,22.67510906,121.4917912,951台東縣綠島鄉51號,中,V
綠島啤 酒魚潛水中心,22.67397010,121.4926692,951台東縣綠島鄉公館99號,少,VV
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,22.66997022,121.4682604,951台東縣綠島鄉210號,中,V
BLUE SAFARI DIVING CENTER 藍莎潛水中心（PADI五星級教練發展潛水中心）,22.67490330,121.4917939,951台東縣綠島鄉72號,中,V
綠島怪獸潛水,22.64567481,121.4983325,951台東縣綠島鄉溫泉66號,少,VV
一直曬太陽hostel民宿(SunnyDayHostel),22.67501451,121.4922481,台東縣綠島鄉公館村65號,中,V
綠島諾亞民宿,22.67447076,121.4802856,台東縣綠島鄉柴口50之6號　,中,VV
好棧 Good Hostel,22.65591273,121.4750796,951台東縣綠島鄉漁港136號,中,V
綠島緩島旅宿。Slow Island Hostel,22.66605095,121.47043,951台東縣綠島鄉南寮九鄰110之1號,中,X
70腳落,22.67496565,121.4913199,台東縣綠島鄉公館村49號,中,X
閱光海背包輕旅,22.66819115,121.4684516,951台東縣綠島鄉南寮143號,少,X
龜灣39號背包客棧 露營,22.64686280,121.4767791,951台東縣綠島鄉南寮村1鄰龜灣39之1號,少,V
綠島放個假旅宿 ,22.67408528,121.4734223,951台東縣綠島鄉中寮205號,少,V
藍海屋潛水渡假村,22.02351199,121.5585921,952台東縣蘭嶼鄉1-8號,多,VV
小豆丁民宿,22.07834039,121.5252383,952台東縣蘭嶼鄉朗島235-1號,中,V
飛魚民宿。蘭嶼 Lanyu,22.02722466,121.5422068,952台東縣蘭嶼鄉部落10鄰101號,多,V
Azul Apnea Freediving 朗。自由潛水,22.07919108,121.5291291,952台東縣蘭嶼鄉朗島村6-1號1樓,少,V
暖暖浮潛,22.03823974,121.5669555,95242台東縣蘭嶼鄉82號,少,V
Unlockdive 解鎖自由潛水工作室,22.05056966,121.5126536,952台東縣蘭嶼鄉122號,少,V
海岸線 Lanyu Coastline,22.07830805,121.5252279,952台東縣蘭嶼鄉朗島村6鄰235之2號,少,V
蘭嶼海的窩,22.03938483,121.5671146,台東縣蘭嶼鄉197之六號,中,V
蘭嶼町Ah度背包客棧,22.05755170,121.5643478,95242台東縣蘭嶼鄉東清村3鄰東清59號 2,中,V
蘭嶼 雅娜背包客棧 Yana backpacker,22.02579764,121.55450,95241台東縣蘭嶼鄉紅頭5鄰135號,少,V
沙卡法艾背包客棧,22.02533818,121.5539243,"紅頭村41號, 蘭嶼鄉台東縣95241",少,V
蘭嶼單藍,22.02705633,121.5435788,952台東縣蘭嶼鄉部落3號2樓,少,V
蘭嶼 Mr.FISH HOSTEL 魚先生· 背包旅宿,22.02684235,121.5426755,952台東縣蘭嶼鄉40號,中,V
蘭嶼 蘭晴背包客棧,22.02548744,121.5545605,952台東縣蘭嶼鄉124號,少,V
蘭嶼 轉角11號民宿,22.02714198,121.5433493,952台東縣蘭嶼鄉村No. 11-1號,中,V
Rover Hostel,22.02773827,121.5439218,952台東縣蘭嶼鄉村65 號,少,V
蘭嶼唯島背包客棧,22.02722353,121.5423242,952台東縣蘭嶼鄉部落100號,少,V
蘭嶼旅人·Rover,22.02646099,121.5498493,95241台東縣蘭嶼鄉村25之1號,多,V
榕樹下背包客棧,22.04547888,121.5176625,952台東縣蘭嶼鄉椰油村9號,少,V
都教練背包客棧,22.06056104,121.5595655,952台東縣蘭嶼鄉村東清137之1號,少,V
蘭嶼看海的日子民宿,22.02708170,121.5423362,952台東縣蘭嶼鄉82號,少,V
Vanwa番哇背包客棧,22.05759918,121.56530,952台東縣蘭嶼鄉6 號,少,V
那天 THat day Hostel,22.05132069,121.5124395,952台東縣蘭嶼鄉4鄰170號,中,V
蘭嶼·貝殼屋民宿,22.02682705,121.5424459,952台東縣蘭嶼鄉41號,少,V
蘭嶼 嵐羽民宿,22.03921600,121.5666177,952台東縣蘭嶼鄉野銀197-3號,中,VV
瑪莎蕊背包客棧,22.03819135,121.56690,95242台東縣蘭嶼鄉82號,少,V
小島生活,22.02473225,121.5544421,952台東縣蘭嶼鄉紅頭3號,少,V
蘭嶼魚飛浪民宿 Lamuran Guesthouse,22.02769629,121.5430106,95201台東縣蘭嶼鄉,少,V
Oyawa背包客棧 x旅宿,22.06701031,121.56670,952台東縣蘭嶼鄉,少,V
休眠中 蘭嶼友達背包客棧,22.02542667,121.5543259,"紅頭56 號, 蘭嶼鄉台東縣952",中,V
蘭嶼東清海沙屋民宿,22.05816560,121.565629,952台東縣蘭嶼鄉村東清路12-6號號2F,中,V
Libang 背包客棧 / 個人工作室,22.07972306,121.518567,952台東縣蘭嶼鄉朗島村17-9號,少,V
嘟嘟悟的家,22.05957364,121.5098229,952台東縣蘭嶼鄉296-3號,中,X
旅兜- house 背包客棧 Lyu dou,22.07801313,121.52680,952台東縣蘭嶼鄉朗島村169號朗島,少,V
蘭嶼國宅背包客棧,22.05079138,121.5126415,952台東縣蘭嶼鄉椰油村151號,少,V
Miawawa_Lanyu 蘭嶼米亞哇哇潛旅背包客棧,22.02549032,121.5545702,952台東縣蘭嶼鄉紅頭124號,中,V
兩隻魚,22.05916739,121.509256,952台東縣蘭嶼鄉村296之12號,中,VV
藍海屋潛水渡假村,22.02351158,121.55859,952台東縣蘭嶼鄉1-8號,多,VV
蘭嶼薰多琦海景休閒民宿,22.02638566,121.5503737,952台東縣蘭嶼鄉紅頭村25之11號,中,VV
蘭嶼海的窩,22.03938638,121.5671136,台東縣蘭嶼鄉197之六號,中,VV
蘭嶼綠建築: 天空的眼睛,22.06083470,121.5683113,952台東縣蘭嶼鄉,中,VV
蘭嶼 好望角民宿,22.02048603,121.5605498,952台東縣蘭嶼鄉1-9號,中,VV
,,,,,
海景擁月星宿民宿,23.05112440,121.3444099,961台東縣成功鎮豐田路25-1號,中,VV
海水藍民宿,22.84551646,121.1884418,954台東縣卑南鄉富山村14鄰杉原149號,中,VV
台東木頭魚民宿,23.03285707,121.3349233,961台東縣成功鎮都歷路246-28號,中,VV
黑足民宿,22.79279340,121.1895083,950台東縣台東市富岡街180號,少,VV
東岸民宿,22.92864413,121.2704692,959台東縣東河鄉隆昌村235-8號,少,VV
大姆灣民宿旅棧 Tamo'wan,22.88211970,121.2392798,"路 47 鄰 14-9 號, 東河鄉台東縣",少,VV
東河海王子民宿,22.97363225,121.3057413,"No. 117, Beidonghe, Donghe, 959",少,VV
都蘭城民宿,22.87591120,121.2281941,959台東縣東河鄉都蘭村256-3號,少,VV
山海都藍,22.89628343,121.2428296,959台東縣東河鄉34 號,少,VV
都蘭紅瓦厝民宿,22.87388316,121.2234443,959台東縣東河鄉都蘭村18鄰57之3號,少,VV
金地亞哥民宿,22.94990495,121.2811265,95942台東縣東河鄉七里橋20號,少,VV
晨天長光,23.33013181,121.4621537,962台東縣長濱鄉122號 ,少,VV
小阿姨野花,23.32840811,121.4637865,台東縣長濱鄉長濱村長光178之3號,中,VV
灰黑橘黃民宿,23.35015369,121.4681712,962台東縣長濱鄉,中,VV
棕萊民宿（在地人自營）,23.32793627,121.44158,台東縣長濱鄉962 黎 頭 針 9 鄰 3 之 6 號,少,VV
千禧山莊,23.44249950,121.4952795,977花蓮縣豐濱鄉三富橋52號,中,VV
海公主民宿-Sea Princess B&B,23.63060137,121.5298499,977花蓮縣豐濱鄉新社村東興113之1號,少,VV
聖地牙哥山海景日出民宿,23.49110621,121.5104162,977花蓮縣豐濱鄉灣120號港口,少,VV
緩慢‧石梯坪,23.49072776,121.510207,977花蓮縣豐濱鄉灣123號港口,多,VV
尋路 花蓮石梯灣118民宿,23.48815792,121.510846,97792花蓮縣豐濱鄉港口村石梯灣118號,中,VV
藍色珊瑚礁 民宿,23.44001285,121.4941159,977花蓮縣豐濱鄉三富橋58號,中,VV
石梯33號民宿,23.48405779,121.5111416,977花蓮縣豐濱鄉石梯坪33號,中,VV
天地海民宿,23.61191613,121.5289841,977花蓮縣豐濱鄉永豐12號台11線47.9K,中,VV
